date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-03-31,add,ARKX,rockets_spacecraft,"Just-launched actively-managed space-exploration ETF gives diversified, listed exposure to the rockets-and-spacecraft wave without single-name SPAC risk.",https://www.thinkadvisor.com/2021/03/29/cathie-woods-ark-to-launch-space-exploration-etf-tuesday/
2021-03-31,add,BOTZ,robotics,"Global X Robotics & AI ETF gives diversified listed exposure to industrial automation, factory robotics, and autonomous-systems names that are the early on-ramp to the robotics wave.",https://www.supplychaindive.com/news/tsmc-semiconductor-capacity-manufacturing-automotive-chip/603525/
2021-06-30,add,SMH,AI,"VanEck Semiconductor ETF concentrates the AI-hardware picks-and-shovels trade (NVDA, TSM, ASML, AMD) that directly captures hyperscaler datacenter capex; complements broad-market SPY with high-conviction AI silicon beta during the ongoing chip shortage.",https://www.cnbc.com/2021/10/16/tsmc-taiwanese-chipmaker-ramping-production-to-end-chip-shortage.html;https://www.vaneck.com/us/en/investments/semiconductor-etf-smh/
2021-09-30,add,URA,nuclear,"Fills the nuclear thematic gap via uranium miners; the recently-launched Sprott Physical Uranium Trust is absorbing pounds out of the spot market and lifting uranium prices for the first time in years, an early structural-supply signal that the nuclear-fuel cycle is entering a buildup phase.",https://sprott.com/investment-strategies/exchange-listed-products/physical-commodity-funds/uranium/;https://sprott.com/uranium-watch/
2021-12-31,add,ICLN,nuclear,Clean-energy ETF captures the broader decarbonization buildout (including nuclear-adjacent grid and renewables) that the user flagged as a likely next wave; pure-play nuclear ETFs do not yet exist in 2021 so this is the cleanest available proxy.,https://www.ft.com/content/eu-taxonomy-nuclear-gas-2021;https://www.reuters.com/business/cop/cop26-climate-summit-glasgow-2021-11-13/;https://www.bloomberg.com/news/articles/2021-12-14/nuscale-power-to-go-public-via-spac-merger
2022-03-31,add,CCJ,nuclear,"Direct uranium-fuel-cycle exposure complementing URA's miner-index; Cameco added 40M lbs to long-term contracts in early 2022 and the Russia-Ukraine war is forcing utilities globally to rebid origin-risk-free supply, a structural shift consistent with the profile's nuclear-near-term thesis.",https://www.cameco.com/invest/financial-information/quarterly-reports/2022/q1;https://www.mining.com/cameco-pivots-into-profit-as-ukraine-war-knocks-uranium-supplies/
2022-03-31,add,ISRG,robotics,"Highest-quality robotics pure-play (robotic surgery, ~60%+ market share, high recurring-revenue mix) to complement BOTZ's diversified industrial/AI index exposure; da Vinci procedure growth continues to compound and the engineered-biology/medical-robotics intersection fits the profile's 'next waves' framing.",https://isrg.intuitive.com/;https://seekingalpha.com/symbol/ISRG
2022-12-31,add,LMT,rockets_spacecraft,Adds a profitable aerospace/defense prime with substantive space-systems exposure to fill the rockets_spacecraft bucket without relying on a thinly-traded pure-play; the segment's backlog and government space spending have been firming through 2022.,https://news.lockheedmartin.com/2022-10-18-Lockheed-Martin-Reports-Third-Quarter-2022-Financial-Results;https://www.reuters.com/lifestyle/science/nasa-artemis-i-moon-rocket-launches-2022-11-16/;https://www.bloomberg.com/news/articles/2022-03-28/space-force-seeks-24-5-billion-budget-up-40
2022-12-31,remove,ARKX,,"Thematic ETF whose top holdings are dominated by industrials and logistics names (Trimble, Kratos, AeroVironment) rather than pure rockets/spacecraft exposure; replaced by LMT for a cleaner, more liquid space-systems read at lower expense.",https://www.reuters.com/markets/us/ark-funds-2022-performance/;https://ark-funds.com/funds/arkx/
2023-03-31,add,TSLA,robotics,Tesla's Optimus humanoid program and FSD progression give the watchlist a robotics/autonomy beachhead the user's thesis explicitly names as a likely next wave; current watchlist has no pure robotics/autonomy single-stock name.,https://www.reuters.com/business/autos-transportation/teslas-investor-day-musk-promises-cheaper-cars-no-details-2023-03-02/;https://www.cnbc.com/2023/01/25/tesla-tsla-earnings-q4-2022.html
2023-03-31,remove,ICLN,,"Clean-energy ETF is thematically adjacent but not aligned with the profile's named next-waves (rockets, robotics, biology, quantum, nuclear); freeing this slot lets us add a robotics name without breaching the 12-cap, and URA/CCJ already cover the nuclear sleeve.",https://www.reuters.com/markets/us/clean-energy-funds-lag-2023-02-10/;https://www.ishares.com/us/products/239738/ishares-global-clean-energy-etf
