date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-09-30,add,ISRG,robotics,Dominant medical-robotics platform with widening installed base and procedure-volume tailwind from elective-surgery recovery. Profile names robotics as a next-wave bucket; ISRG diversifies BOTZ exposure into healthcare robotics.,https://www.sec.gov/Archives/edgar/data/0001035267/000103526721000115/a20210630ex-991.htm
2021-12-31,add,IONQ,quantum,"First publicly traded pure-play quantum-computing company; profile explicitly names quantum as a next-wave priority and prior to IONQ's Oct 1, 2021 listing there was no liquid US-listed pure-play. Trapped-ion approach is differentiated from superconducting peers and accessible via AWS Braket and Azure Quantum.",https://investors.ionq.com/news/news-details/2021/IonQ-Becomes-First-Public-Pure-Play-Quantum-Computing-Company-Following-Business-Combination-with-dMY-Technology-Group-III/default.aspx
2021-12-31,add,BWXT,nuclear,Sole North American manufacturer of large naval nuclear reactors plus growing Canadian SMR supply-chain footprint via partnerships with NuScale and GE Hitachi. Hits both nuclear (next-wave) and defense exposure; complements URA/CCJ (uranium fuel cycle) with downstream reactor manufacturing.,https://www.bwxt.com/bwxt-awarded-1-billion-in-naval-nuclear-propulsion-program-options/;https://www.ans.org/news/article-3261/nuscale-advances-work-with-bwxt-builds-out-canadas-smr-supply-chain/
2021-12-31,add,AMD,AI,"Data-center CPU and accelerator share gainer; pending Xilinx acquisition (announced Oct 2020, regulatory approvals progressing through 2021) brings FPGA and AI-inference IP that broadens AMD's AI silicon stack. Diversifies AI-compute exposure beyond NVDA/TSM concentration.",https://ir.amd.com/news-events/press-releases/detail/1024/amd-reports-third-quarter-2021-financial-results
2022-03-31,add,XLV,demographics,"The watchlist currently has zero direct demographics-aging exposure, yet the profile names demographics as a non-tech next wave. XLV (Health Care Select Sector SPDR, launched 1998, deeply liquid) is the cleanest US-listed broad healthcare vehicle: large-cap pharma (JNJ, PFE, LLY, MRK), insurers (UNH), and devicemakers, all of which earn revenue from aging US/EU/Japan populations. Also provides a defensive ballast against the tech-heavy AI sleeve during the ongoing rate-hike repricing.",https://www.federalreserve.gov/monetarypolicy/fomcpresconf20220316.htm;https://www.census.gov/library/stories/2022/03/by-2030-all-baby-boomers-will-be-age-65-or-older.html
2022-06-30,add,CEG,nuclear,"Pure-play US merchant nuclear utility (largest carbon-free generator in the country) that spun off from Exelon Feb 1, 2022 and now trades cleanly as a single name; complements the URA/CCJ mining exposure and BWXT reactor-services exposure already in the watchlist with the actual operator of the existing US reactor fleet, which is the direct beneficiary of the April 2022 federal civil-nuclear-credit program.",https://www.constellationenergy.com/newsroom/2022/constellation-energy-completes-separation-from-exelon.html;https://www.constellationenergy.com/newsroom/2022/constellation-reports-first-quarter-2022-results.html;https://www.reuters.com/business/energy/us-launches-6-bln-effort-save-distressed-nuclear-plants-2022-04-19/
2022-06-30,add,NOC,rockets_spacecraft,"Prime contractor for the US Space Development Agency's low-Earth-orbit constellation and the Space Force's deep-space radar, providing single-name exposure to the militarized-space buildout that the user's wave thesis names (rockets/spacecraft) and that complements RKLB (small launch) and ARKX (broad space ETF) with a profitable mega-cap operator; the ITA defense ETF in the current watchlist underweights space specifically.",https://news.northropgrumman.com/news/releases/northrop-grumman-selected-by-the-space-development-agency-to-build-tranche-1-transport-layer-mesh-network;https://news.northropgrumman.com/news/releases/northrop-grumman-awarded-us-space-force-contract-for-deep-space-advanced-radar-capability
2022-06-30,add,CGNX,robotics,"Machine-vision and barcode-reader maker that supplies the 'eyes' for factory and warehouse automation; provides a profitable, listed-since-1989 single-name robotics holding to pair with the BOTZ industrial-robotics ETF and ISRG surgical-robotics, addressing the user's named 'robotics' next-wave bucket with a company whose Q1 2022 results already show the wave is in commercial buildup (logistics now its largest end market, +18% YoY revenue).",https://www.sec.gov/Archives/edgar/data/0000851205/000115752322000286/a52589557ex99_1.htm
2023-06-30,add,LLY,demographics,"Eli Lilly's Mounjaro (tirzepatide) is the cleanest pure-play on the aging-population/obesity demographics wave; Q1 2023 sales of ~$570M plus the SURMOUNT-2 readout position it for an obesity-label FDA decision later this year, and the broad XLV ETF is the only demographics exposure in the current watchlist.",https://www.biospace.com/lilly-s-mounjaro-poised-to-challenge-novo-s-wegovy-in-obesity;https://www.biopharmadive.com/news/lilly-mounjaro-weight-loss-trial-results-glp-1-ozempic/648670/
2023-06-30,add,SMR,nuclear,"NuScale Power is the only publicly-traded pure-play SMR developer; its 50 MWe design received final NRC certification in January 2023 and the company has since announced an MOU with Nucor for steel-mill baseload and a $275M public-private commitment for a Romania deployment, giving the watchlist a fission-SMR pure-play that URA/CCJ/BWXT/CEG do not provide.",https://www.utilitydive.com/news/NuScale-small-modular-reactor-nuclear-NRC/641012/;https://www.sec.gov/Archives/edgar/data/0001822966/000182296623000008/pressreleasenuscalereach.htm;https://www.sec.gov/Archives/edgar/data/0001822966/000182296623000117/a2023-05x16xnuscalepower.htm
